code	species	pigment	Fe_I	Tb_I	Mt_I	Ta_I	Fe_II	Tb_II	Mt_II	Ta_II	Fe_III	Tb_III	Mt_III	Ta_III	Fe_IV	Tb_IV	Mt_IV	Ta_IV	Post_LINE	Ant_LINE	AME	ALE	PME	PLE	WIDTH	HEIGHT	CLIPEO	CEPH_REG	Sterno_L	Sterno_W	PATURON	TOOTH	FANG
23	bornensis	0	2,23	2,68	2,36	1,42	2,14	2,38	2,14	1,30	1,73	1,91	1,71	0,92	2,29	2,54	2,30	1,18	0,44	0,41	0,03	0,06	0,06	0,06	1,15	0,40	0,19	0,76	0,84	0,66	0,46	0,07	0,37
24	bornensis	0	2,11	2,58	2,26	1,43	1,98	2,42	2,13	1,23	1,68	1,87	1,59	0,94	2,18	2,50	2,13	1,20	0,38	0,35	0,03	0,06	0,05	0,06	1,06	0,34	0,17	0,70	0,80	0,68	0,47	0,06	0,33
25	bornensis	0	2,26	2,62	2,37	1,49	2,10	2,41	2,18	1,31	1,85	1,88	1,60	0,99	2,35	2,42	2,13	1,17	0,42	0,40	0,03	0,05	0,05	0,06	1,07	0,37	0,18	0,71	0,82	0,72	0,50	0,05	0,36
26	bornensis	0	2,24	2,62	2,27	1,40	2,04	2,39	2,09	1,28	1,75	1,80	1,62	0,98	2,24	2,49	2,16	1,26	0,43	0,40	0,03	0,06	0,06	0,07	1,18	0,39	0,18	0,78	0,81	0,78	0,51	0,06	0,36
27	bornensis	0	2,17	2,60	2,18	1,41	2,04	2,33	2,03	1,30	1,80	1,84	1,69	0,91	2,26	2,46	2,13	1,17	0,44	0,41	0,03	0,06	0,06	0,06	1,12	0,37	0,19	0,74	0,81	0,76	0,51	0,07	0,33
28	bornensis	0	2,22	2,61	2,19	1,33	2,08	2,34	2	1,25	1,71	1,84	1,67	0,94	2,23	2,36	2,16	1,15	0,43	0,39	0,03	0,06	0,05	0,05	1,04	0,31	0,17	0,69	0,72	0,81	0,54	0,05	0,34
29	bornensis	0	1,88	2,34	1,95	1,34	1,78	2,09	1,83	1,19	1,41	1,47	1,43	0,86	1,82	2,17	1,79	1,06	0,38	0,36	0,03	0,06	0,05	0,05	0,97	0,30	0,14	0,63	0,65	0,67	0,45	0,06	0,29
134	bornensis	0	2,53	2,59	2,38	1,31	2,38	2,56	2,16	1,19	2,00	1,97	2,09	0,88	2,53	2,47	2,22	1,13	0,44	0,39	0,05	0,08	0,08	0,08	1,13	0,45	NA	NA	0,75	NA	0,47	NA	0,50
135	bornensis	0	2,53	2,72	2,25	1,38	2,41	2,38	2,16	1,22	2,06	1,91	1,81	0,91	2,56	2,59	2,28	1,19	0,44	0,40	0,05	0,06	0,06	0,07	1,16	0,46	NA	NA	0,81	NA	0,48	NA	0,50
136	bornensis	0	2,50	2,63	2,13	1,31	2,41	2,56	2,22	1,25	2,06	1,94	1,69	0,88	2,56	2,66	2,22	1,03	0,41	0,35	0,04	0,05	0,06	0,05	1,03	0,45	NA	NA	0,78	NA	0,49	NA	0,53
137	bornensis	0	2,56	2,84	2,38	1,31	2,47	2,53	2,22	1,28	2,16	2,00	1,78	0,69	2,59	2,69	2,28	1,13	0,43	0,35	0,05	0,06	0,07	0,05	1,09	0,45	NA	NA	0,72	NA	0,51	NA	0,63
